dealdate,section,dealtime,priceClose,TendSummary
20200302,1,124800,11185.00,1
20200302,1,124900,11189.00,1
20200302,1,125000,11195.00,1
20200302,1,125100,11192.00,1
20200302,1,125200,11192.00,1
20200302,1,125300,11194.00,1
20200302,1,125400,11197.00,1
20200302,1,125500,11196.00,1
20200302,1,125600,11189.00,1
20200302,1,125700,11190.00,1
20200302,1,125800,11184.00,1
20200302,1,125900,11186.00,1
20200302,1,130000,11181.00,1
20200302,1,130100,11185.00,1
20200302,1,130200,11185.00,1
20200302,1,130300,11189.00,1
20200302,1,130400,11183.00,1
20200302,1,130500,11185.00,1
20200302,1,130600,11179.00,1
20200302,1,130700,11174.00,1
20200302,1,130800,11171.00,1
20200302,1,130900,11172.00,1
20200302,1,131000,11173.00,1
20200302,1,131100,11181.00,1
20200302,1,131200,11174.00,1
20200302,1,131300,11170.00,1
20200302,1,131400,11169.00,1
20200302,1,131500,11160.00,1
20200302,1,131600,11162.00,1
20200302,1,131700,11159.00,1
20200302,1,131800,11162.00,1
20200302,1,131900,11164.00,1
20200302,1,132000,11170.00,1
20200302,1,132100,11172.00,1
20200302,1,132200,11180.00,1
20200302,1,132300,11180.00,1
20200302,1,132400,11182.00,1
20200302,1,132500,11174.00,1
20200302,1,132600,11174.00,1
20200302,1,132700,11173.00,1
20200302,1,132800,11173.00,1
20200302,1,132900,11180.00,1
20200302,1,133000,11179.00,1
20200302,1,133100,11176.00,1
20200302,1,133200,11180.00,1
20200302,1,133300,11178.00,1
20200302,1,133400,11181.00,1
20200302,1,133500,11178.00,1
20200302,1,133600,11176.00,1
20200302,1,133700,11177.00,1
20200302,1,133800,11177.00,1
20200302,1,133900,11177.00,1
20200302,1,134000,11178.00,1
20200302,1,134100,11182.00,1
20200302,1,134200,11178.00,1
20200302,1,134300,11180.00,1
20200302,1,134400,11174.00,1
20200303,1,084500,11299.00,-1
20200303,1,084600,11309.00,-1
20200303,1,084700,11304.00,-1
20200303,1,084800,11296.00,-1
20200303,1,084900,11304.00,-1
20200303,1,085000,11305.00,-1
20200303,1,085100,11310.00,-1
20200303,1,085200,11318.00,-1
20200303,1,085300,11325.00,-1
20200303,1,085400,11317.00,-1
20200303,1,085500,11321.00,-1
20200303,1,085600,11316.00,-1
20200303,1,085700,11315.00,-1
20200303,1,085800,11330.00,-1
20200303,1,085900,11334.00,-1
20200303,1,090000,11331.00,-1
20200303,1,090100,11321.00,-1
20200303,1,090200,11317.00,-1
