tendPredict,tendPredictEMAn,tendBase,preStopGainLoseTend,preStopCountdown,baseTime,basePrice,tendInventory,inventoryPL,inventoryPLmax,inventoryPLmin,settlePL,settleLoseWorst,settlePLsum,settlePLsumMax,settlePLsumMin,buySaleTimes,dealdate,section,dealtime,priceClose,TendSummary
0.73105859756469727,0.73105859756469727,1,0,0,090700,11105.00,1,67.00,67.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093200,11172.00,1
0.73105859756469727,0.73105859756469727,1,0,0,090700,11105.00,1,66.00,67.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093300,11171.00,1
0.73105853796005249,0.73105853796005249,1,0,0,090700,11105.00,1,70.00,70.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093400,11175.00,1
0.73105859756469727,0.73105859756469727,1,0,0,090700,11105.00,1,61.00,70.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093500,11166.00,1
0.73105847835540771,0.73105847835540771,1,0,0,090700,11105.00,1,46.00,70.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093600,11151.00,1
0.73105853796005249,0.73105853796005249,1,0,0,090700,11105.00,1,52.00,70.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093700,11157.00,1
0.73105794191360474,0.73105794191360474,1,0,0,090700,11105.00,1,49.00,70.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093800,11154.00,1
0.73105311393737793,0.73105311393737793,1,0,0,090700,11105.00,1,59.00,70.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093900,11164.00,1
0.73105645179748535,0.73105645179748535,1,0,0,090700,11105.00,1,58.00,70.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,094000,11163.00,1
0.73105853796005249,0.73105853796005249,1,0,0,090700,11105.00,1,82.00,82.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,094100,11187.00,1
